Ticker,Name,Exchange
AAIT,AC Asia Information Tech MSCI Ishares,NASDAQ
AAME,Atlantic American Corp.,NASDAQ
AAON,Aaon,NASDAQ
AAPL,Apple Inc.,NASDAQ
AAWW,Atlas Air Worldwide Holdings,NASDAQ
AAXJ,All Country Asia Ex Jpn Idx MSCI Ishares,NASDAQ
ABAX,Abaxis,NASDAQ
ABCB,Ameris Bancorp,NASDAQ
ABCD,Cambium Learning Group,NASDAQ
ABCO,The Advisory Board Company,NASDAQ
ABFS,Arkansas Best Corp.,NASDAQ
ABIO,Arca Biopharma,NASDAQ
ABMD,Abiomed,NASDAQ
ABTL,Autobytel Inc.,NASDAQ
ACAD,Acadia Pharmaceuticals Inc.,NASDAQ
ACAS,American Capital,NASDAQ
ACAT,Arctic Cat Inc.,NASDAQ
ACCL,Accelrys,NASDAQ
ACET,Aceto Corp.,NASDAQ
ACFC,Atlantic Coast Federal Corp.,NASDAQ
ACFN,Acorn Energy,NASDAQ
ACGL,Arch Capital Group Ltd,NASDAQ
ACHC,Acadia Healthcare Company Inc.,NASDAQ
ACHN,Achillion Pharmaceuticals,NASDAQ
ACIW,Aci Worldwide,NASDAQ
ACLS,Axcelis Technologies,NASDAQ
ACNB,Acnb Corp.,NASDAQ
ACOR,Acorda Therapeutics,NASDAQ
ACPW,Active Power,NASDAQ
ACRX,Acelrx Pharmaceuticals,NASDAQ
ACST,Acasti Pharma Inc,NASDAQ
ACTG,Acacia Research Corp.,NASDAQ
ACTS,Actions Semiconductor Co.,NASDAQ
ACUR,Acura Pharmaceuticals,NASDAQ
ACWI,ACWI Index MSCI Ishares,NASDAQ
ACWX,ACWI Ex-US Index MSCI Ishares,NASDAQ
ACXM,Acxiom Corp.,NASDAQ
ADAT,Authentidate Holding,NASDAQ
ADBE,Adobe Systems Incorporated,NASDAQ
ADEP,Adept Technology,NASDAQ
ADES,Ada-Es,NASDAQ
ADHD,Alcobra Ltd.,NASDAQ
ADI,Analog Devices,NASDAQ
ADNC,Audience Inc.,NASDAQ
ADP,Automatic Data Processing,NASDAQ
ADRA,Asia 50 ADR Index Bldrs,NASDAQ
ADRD,Dev Mkts 100 ADR Index Bldrs,NASDAQ
ADRE,Emrg Mkts 50 ADR Index Bldrs,NASDAQ
ADRU,Europe 100 ADR Index Bldrs,NASDAQ
ADSK,Autodesk,NASDAQ
ADTN,Adtran,NASDAQ
ADUS,Addus Homecare Corp.,NASDAQ
ADVS,Advent Software,NASDAQ
AEGN,Aegoin Corp,NASDAQ
AEGR,Aegerion Pharmaceuticals,NASDAQ
AEHR,Aehr Test Systems,NASDAQ
AEIS,Advanced Energy Industries,NASDAQ
AEPI,Aep Industries Inc.,NASDAQ
AERL,Asia Entertainment & Resources Ltd,NASDAQ
AETI,American Electric Technologies,NASDAQ
AEY,Addvantage Technologies Group,NASDAQ
AEZS,Aeterna Zentaris,NASDAQ
AFAM,Almost Family Inc,NASDAQ
AFCB,Athens Bancshares Corp.,NASDAQ
AFCE,Afc Enterprises,NASDAQ
AFFX,Affymetrix,NASDAQ
AFH,Atlas Financial Holdings Inc.,NASDAQ
AFOP,Alliance Fiber Optic Products,NASDAQ
AFSI,Amtrust Financial Services,NASDAQ
AGEN,Agenus Inc.,NASDAQ
AGII,Argo Group International Holdings Ltd,NASDAQ
AGIIL,Argo Group International Holdin,NASDAQ
AGIO,Agios Pharmaceuticals Inc.,NASDAQ
AGNC,American Capital Agency,NASDAQ
AGNCP,American Capital,NASDAQ
AGYS,Agilysys,NASDAQ
AHGP,Alliance Holdings Gp L.P.,NASDAQ
AHPI,Allied Healthcare Products,NASDAQ
AIMC,Altra Holdings,NASDAQ
AINV,Apollo Investment Corp.,NASDAQ
AIQ,Alliance Healthcare Services,NASDAQ
AIRM,Air Methods Corp.,NASDAQ
AIRT,Air T,NASDAQ
AIXG,Aixtron Se,NASDAQ
AKAM,Akamai Technologies,NASDAQ
AKRX,Akorn,NASDAQ
ALCO,Alico,NASDAQ
ALCS,Alco Stores Inc,NASDAQ
ALGN,Align Technology,NASDAQ
ALGT,Allegiant Travel Company,NASDAQ
ALIM,Alimera Sciences,NASDAQ
ALKS,Alkermes,NASDAQ
ALLB,Alliance Bank,NASDAQ
ALLT,Allot Communications Ltd,NASDAQ
ALNY,Alnylam Pharmaceuticals,NASDAQ
ALOG,Analogic Corp.,NASDAQ
ALOT,Astro-Med,NASDAQ
ALSK,Alaska Communications Systems,NASDAQ
ALTI,Altair Nanotechnologies Inc.,NASDAQ
ALTR,Altera Corp.,NASDAQ
ALVR,Alvarion Ltd,NASDAQ
ALXA,Alexza Pharmaceuticals,NASDAQ
ALXN,Alexion Pharmaceuticals,NASDAQ
AMAG,Amag Pharmaceuticals,NASDAQ
AMAP,Autonavi Holdings,NASDAQ
AMAT,Applied Materials,NASDAQ
AMBA,Ambarella Inc.,NASDAQ
AMBC,Ambac Financial Group Inc.,NASDAQ
AMBCW,Ambac Financial Group Inc.,NASDAQ
AMBI,Ambit Biosciences Corporation,NASDAQ
AMBT,Ambient Corp,NASDAQ
AMCC,Applied Micro Circuits Corp.,NASDAQ
AMCF,Andatee China Marine Fuel Services,NASDAQ
AMCN,Airmedia Group Inc,NASDAQ
AMCX,Amc Networks Inc.,NASDAQ
AMED,Amedisys Inc,NASDAQ
AMGN,Amgen Inc.,NASDAQ
AMIC,American Independence,NASDAQ
AMKR,Amkor Technology,NASDAQ
AMNB,American National Bankshares,NASDAQ
AMOT,Allied Motion Technologies,NASDAQ
AMOV,America Movil S.A.B. De C.V.,NASDAQ
AMRB,American River Bankshares,NASDAQ
AMRI,Albany Molecular Research,NASDAQ
AMRN,Amarin Corporation Plc,NASDAQ
AMRS,Amyris,NASDAQ
AMSC,American Superconductor Corp.,NASDAQ
AMSF,Amerisafe,NASDAQ
AMSG,Amsurg,NASDAQ
AMSWA,American Software,NASDAQ
AMWD,American Woodmark Corp.,NASDAQ
AMZN,Amazon.Com,NASDAQ
ANAC,Anacor Pharmaceuticals,NASDAQ
ANAD,Anadigics,NASDAQ
ANAT,American National Insurance,NASDAQ
